#         t         Lx         Ly         Lz
      6.371      0.038     -0.055      0.064
      6.386     -0.010     -0.165      0.021
      6.400      0.083     -0.074      0.010
      6.414      0.017     -0.057      0.077
      6.429     -0.093     -0.060     -0.162
      6.443     -0.020      0.049     -0.165
      6.457      0.096      0.074      0.066
      6.471     -0.043      0.088     -0.048
      6.486     -0.072     -0.044     -0.011
      6.500      0.039      0.080      0.004
      6.514     -0.003     -0.068     -0.143
      6.529      0.052      0.060      0.112
      6.543      0.111     -0.041      0.052
      6.557      0.056     -0.023     -0.099
      6.571      0.007      0.024     -0.006
      6.586      0.079     -0.082     -0.028
      6.600     -0.060     -0.048      0.024
      6.614      0.143      0.016      0.034
      6.629      0.027     -0.055     -0.038
      6.643     -0.004     -0.004     -0.010
      6.657     -0.009     -0.068      0.057
      6.671     -0.040     -0.039     -0.123
      6.686      0.059     -0.082      0.107
      6.700     -0.021     -0.079     -0.025
      6.714      0.065     -0.184      0.036
      6.729     -0.036     -0.020     -0.026
      6.743     -0.102      0.102     -0.026
      6.757     -0.062     -0.011      0.093
      6.771      0.138      0.139     -0.123
      6.786      0.004      0.058     -0.031
      6.800     -0.092      0.059     -0.029
      6.814      0.043     -0.004      0.000
      6.829     -0.061      0.028     -0.019
      6.843      0.019      0.104      0.099
      6.857     -0.035     -0.072      0.102
      6.871      0.070     -0.075      0.088
      6.886     -0.055      0.020     -0.056
      6.900     -0.017      0.024     -0.028
      6.914      0.040      0.057      0.021
      6.929     -0.003     -0.044      0.030
      6.943     -0.023      0.032      0.065
      6.957     -0.027     -0.021      0.035
      6.971      0.019      0.024      0.040
      6.986      0.059      0.034     -0.065
      7.000      0.079      0.054      0.028
      7.014      0.042     -0.061      0.032
      7.029      0.026     -0.030     -0.028
      7.043     -0.117     -0.026      0.097
      7.057      0.066     -0.038      0.062
      7.071     -0.107      0.005     -0.062
      7.086      0.005     -0.051     -0.050
      7.100      0.043      0.047      0.034
      7.114      0.039      0.004     -0.025
      7.129      0.019     -0.050     -0.015
      7.143      0.015     -0.101     -0.145
      7.157     -0.001     -0.012      0.043
      7.171     -0.091     -0.005     -0.014
      7.186      0.211      0.086     -0.003
      7.200     -0.030     -0.057      0.014
      7.214     -0.035      0.035      0.109
      7.229     -0.058     -0.134      0.091
      7.243     -0.220     -0.089     -0.150
      7.257      0.122     -0.035     -0.115
      7.271     -0.083      0.039     -0.014
      7.286      0.013      0.116      0.030
      7.300      0.013      0.002     -0.041
      7.314     -0.168     -0.005      0.111
      7.329      0.068     -0.046     -0.021
      7.343      0.066     -0.067      0.020
      7.357      0.101     -0.037      0.016
      7.371      0.056      0.030     -0.102
      7.386     -0.056      0.019      0.086
      7.400     -0.009      0.092     -0.024
      7.414      0.057      0.017      0.053
      7.429      0.015      0.070     -0.029
      7.443     -0.072     -0.035      0.047
      7.457     -0.102     -0.022      0.063
      7.471      0.007      0.092      0.057
      7.486      0.000      0.117      0.057
      7.500     -0.097      0.088     -0.035
      7.514      0.088      0.120      0.010
      7.529     -0.029      0.005      0.069
      7.543     -0.026     -0.015     -0.091
      7.557     -0.004     -0.000     -0.008
      7.571      0.052      0.030     -0.141
      7.586     -0.015     -0.041      0.022
      7.600      0.043     -0.094      0.077
      7.614      0.005     -0.179      0.105
      7.629      0.002     -0.016     -0.052
      7.643     -0.073      0.032      0.099
      7.657      0.034     -0.098     -0.037
      7.671      0.104      0.011      0.058
      7.686     -0.012     -0.092     -0.065
      7.700      0.079     -0.021      0.060
      7.714     -0.001      0.056     -0.012
      7.729      0.069      0.001     -0.005
      7.743      0.023     -0.047     -0.101
      7.757     -0.126      0.113      0.110
      7.771      0.054      0.012     -0.009
      7.786     -0.059     -0.090     -0.010
      7.800      0.123      0.042      0.068
      7.814      0.040     -0.004     -0.064
      7.829     -0.018      0.025     -0.001
      7.843     -0.080      0.083      0.041
      7.857      0.032     -0.014      0.109
      7.871     -0.049      0.111      0.005
      7.886      0.087     -0.040     -0.119
      7.900     -0.048     -0.038     -0.017
      7.914     -0.061      0.016     -0.023
      7.929     -0.068     -0.017      0.008
      7.943      0.076      0.134     -0.006
      7.957     -0.022     -0.027     -0.052
      7.971      0.061     -0.016     -0.096
      7.986     -0.002      0.006     -0.092
      8.000      0.011      0.019     -0.054
      8.014     -0.000     -0.104     -0.042
      8.029     -0.037      0.040      0.030
      8.043     -0.056      0.115     -0.021
      8.057      0.094     -0.016      0.034
      8.071      0.033     -0.048      0.017
      8.086      0.072      0.035      0.071
      8.100     -0.019      0.034     -0.032
      8.114      0.047     -0.133      0.098
      8.129     -0.038      0.210      0.024
      8.143     -0.048     -0.058      0.073
      8.157     -0.028      0.029      0.093
      8.171      0.051      0.088     -0.053
      8.186     -0.004     -0.080     -0.038
      8.200      0.027     -0.060     -0.001
      8.214      0.030      0.051     -0.019
      8.229      0.068      0.139      0.093
      8.243     -0.046      0.066      0.015
      8.257      0.061     -0.046     -0.033
      8.271      0.079      0.023     -0.116
      8.286     -0.025      0.040      0.083
      8.300      0.081      0.003      0.088
      8.314      0.130     -0.077      0.031
      8.329     -0.090     -0.000      0.035
      8.343      0.000      0.023     -0.001
      8.357     -0.116     -0.048     -0.002
      8.371      0.040      0.078      0.018
      8.386      0.086     -0.026     -0.223
      8.400     -0.002     -0.098     -0.049
      8.414     -0.016      0.074     -0.075
      8.429     -0.029     -0.030      0.092
      8.443     -0.015      0.053      0.058
      8.457      0.013     -0.000     -0.060
      8.471     -0.016      0.047     -0.041
      8.486      0.078      0.009     -0.075
      8.500      0.013      0.040     -0.018
      8.514      0.039     -0.043     -0.043
      8.529     -0.045      0.088     -0.030
      8.543     -0.016      0.031      0.073
      8.557      0.002     -0.110      0.070
      8.571     -0.058     -0.062      0.071
      8.586      0.123     -0.124      0.033
      8.600      0.092     -0.040     -0.008
      8.614      0.138      0.083     -0.100
      8.629      0.012     -0.042     -0.041
      8.643      0.013      0.047      0.016
      8.657     -0.045     -0.057      0.135
      8.671     -0.017      0.016     -0.000
      8.686      0.020     -0.018      0.080
      8.700     -0.076      0.086      0.007
      8.714     -0.102     -0.079     -0.030
      8.729      0.035     -0.144     -0.145
      8.743     -0.056      0.069     -0.123
      8.757      0.109     -0.032      0.084
      8.771     -0.107      0.025     -0.099
      8.786      0.161      0.040     -0.045
      8.800      0.128     -0.025     -0.033
      8.814      0.071     -0.058     -0.071
      8.829     -0.099      0.015     -0.089
      8.843     -0.073      0.024     -0.072
      8.857     -0.090     -0.047      0.006
      8.871     -0.027      0.013     -0.115
      8.886     -0.014      0.060      0.005
      8.900      0.012     -0.041     -0.195
      8.914     -0.013      0.078      0.023
      8.929      0.069     -0.062     -0.004
      8.943      0.016      0.097     -0.099
      8.957     -0.110      0.011      0.029
      8.971      0.113      0.041      0.114
      8.986      0.061     -0.034      0.080
      9.000      0.085     -0.026      0.051
      9.014      0.026     -0.000      0.018
      9.029     -0.016     -0.020     -0.137
      9.043      0.036      0.025      0.025
      9.057      0.042      0.019      0.075
      9.071     -0.054     -0.038      0.024
      9.086     -0.036      0.015      0.000
      9.100     -0.052      0.089      0.039
      9.114      0.002      0.090      0.087
      9.129     -0.019     -0.003      0.022
      9.143      0.006      0.098     -0.090
      9.157      0.020      0.168     -0.019
      9.171      0.105     -0.025      0.034
      9.186      0.052      0.051     -0.090
      9.200     -0.072     -0.034      0.015
      9.214     -0.023     -0.030      0.142
      9.229      0.070      0.035      0.103
      9.243     -0.013     -0.013     -0.118
      9.257     -0.112     -0.052      0.144
      9.271      0.058      0.064     -0.055
      9.286      0.108     -0.167      0.114
      9.300      0.036     -0.006     -0.078
      9.314      0.103     -0.053     -0.101
      9.329      0.023      0.103     -0.099
      9.343     -0.201      0.023      0.055
      9.357      0.020      0.057      0.008
      9.371      0.026     -0.038      0.069
      9.386     -0.040     -0.029      0.059
      9.400      0.022     -0.052      0.039
      9.414     -0.005      0.007     -0.013
      9.429     -0.018      0.007     -0.100
      9.443      0.039      0.137      0.015
      9.457     -0.072     -0.008     -0.003
      9.471      0.054      0.072     -0.076
      9.486     -0.036      0.048      0.008
      9.500     -0.002      0.021     -0.026
      9.514     -0.075      0.171     -0.076
      9.529     -0.046     -0.031     -0.005
      9.543      0.061      0.066     -0.057
      9.557      0.004      0.009     -0.098
      9.571     -0.007     -0.002      0.060
      9.586      0.076     -0.035      0.077
      9.600     -0.046     -0.090      0.035
      9.614      0.087     -0.062      0.090
      9.629      0.075      0.081      0.008
      9.643      0.158      0.034      0.029
      9.657     -0.043      0.045     -0.003
      9.671     -0.120     -0.195      0.001
      9.686     -0.019     -0.052     -0.013
      9.700     -0.003      0.089      0.126
      9.714      0.004      0.045      0.041
      9.729      0.041     -0.027     -0.133
      9.743     -0.012     -0.149      0.016
      9.757     -0.027      0.118     -0.047
      9.771      0.045     -0.128     -0.098
      9.786     -0.089     -0.004      0.025
      9.800     -0.003      0.050      0.029
      9.814     -0.042      0.013     -0.053
      9.829      0.000      0.055     -0.030
      9.843     -0.023     -0.028     -0.051
      9.857      0.052      0.012     -0.010
      9.871      0.003      0.010      0.006
      9.886     -0.012      0.171      0.054
      9.900     -0.100      0.074      0.062
      9.914      0.084     -0.130      0.079
      9.929     -0.005      0.006     -0.004
      9.943      0.017      0.002     -0.016
      9.957     -0.030      0.037     -0.142
      9.971      0.088      0.061      0.209
      9.986     -0.080      0.057     -0.026
     10.000      0.024      0.016      0.004
     10.014      0.012      0.077      0.057
     10.029      0.015     -0.060      0.025
     10.043      0.004      0.097      0.071
     10.057      0.020     -0.078      0.057
     10.071      0.061      0.069     -0.032
     10.086      0.073      0.008      0.094
     10.100     -0.025      0.002      0.050
     10.114     -0.068     -0.018      0.024
     10.129      0.148     -0.009      0.059
     10.143     -0.025     -0.011     -0.081
     10.157     -0.021     -0.010     -0.007
     10.171      0.062      0.055      0.006
     10.186      0.003      0.088      0.073
     10.200     -0.063     -0.062      0.008
     10.214      0.038      0.024     -0.022
     10.229      0.003      0.098     -0.155
     10.243      0.009      0.038      0.057
     10.257     -0.077     -0.108     -0.013
     10.271      0.044     -0.131      0.036
     10.286      0.024     -0.005      0.035
     10.300     -0.021     -0.009     -0.070
     10.314      0.007      0.092     -0.024
     10.329      0.075      0.009      0.064
     10.343      0.170     -0.038      0.038
     10.357      0.024      0.152      0.025
     10.371     -0.142     -0.067     -0.040
