gal, snap, a, err
 M31, 283,   53.8,  0.5
 M31, 284,   54.4,  0.9
 M31, 285,   53.2,  0.5
 M31, 286,   54.7,  1.2
 M31, 287,   53.8,  0.8
 M31, 288,   54.1,  0.7
 M31, 289,   54.7,  1.0
 M31, 290,   55.4,  0.9
 M31, 291,   55.9,  1.1
 M31, 292,   55.2,  0.6
 M31, 293,   56.7,  0.8
 M31, 294,   57.6,  1.2
 M31, 295,   55.7,  0.6
 M31, 296,   56.6,  0.6
 M31, 297,   56.7,  0.6
 M31, 298,   57.9,  0.6
 M31, 299,   58.1,  0.6
 M31, 300,   58.8,  0.6
 M31, 301,   59.6,  0.6
 M31, 302,   59.8,  0.6
 M31, 303,   60.6,  0.6
 M31, 304,   60.9,  0.6
 M31, 305,   62.1,  0.5
 M31, 306,   61.8,  0.7
 M31, 307,   63.0,  0.5
 M31, 308,   63.2,  0.5
 M31, 309,   63.8,  0.6
 M31, 310,   63.0,  0.7
 M31, 311,   64.1,  0.7
 M31, 312,   66.4,  0.7
 M31, 313,   66.3,  0.5
 M31, 314,   66.2,  0.5
 M31, 315,   68.2,  0.9
 M31, 316,   67.6,  0.6
 M31, 317,   67.7,  0.4
 M31, 318,   68.4,  0.5
 M31, 319,   68.7,  0.7
 M31, 320,   69.5,  0.7
 M31, 321,   69.5,  0.5
 M31, 322,   70.2,  0.7
 M31, 323,   70.3,  0.8
 M31, 324,   69.5,  0.7
 M31, 325,   70.1,  0.8
 M31, 326,   71.1,  0.8
 M31, 327,   70.4,  0.7
 M31, 328,   70.6,  0.7
 M31, 329,   71.4,  0.7
 M31, 330,   69.9,  1.0
 M31, 331,   71.2,  0.8
 M31, 332,   71.1,  0.8
 M31, 333,   71.4,  0.9
 M31, 334,   72.0,  0.9
 M31, 335,   71.7,  0.9
 M31, 336,   72.6,  1.0
 M31, 337,   73.1,  1.0
 M31, 338,   71.8,  1.0
 M31, 339,   72.0,  1.0
 M31, 340,   73.3,  1.0
 M31, 341,   72.3,  1.0
 M31, 342,   72.5,  1.1
 M31, 343,   72.4,  1.1
 M31, 344,   72.2,  1.2
 M31, 345,   72.3,  1.1
 M31, 346,   72.4,  1.2
 M31, 347,   72.9,  1.2
 M31, 348,   71.6,  1.3
 M31, 349,   72.7,  1.2
 M31, 350,   72.6,  1.3
 M31, 351,   72.5,  1.3
 M31, 352,   72.8,  1.3
 M31, 353,   72.6,  1.3
 M31, 354,   73.0,  1.3
 M31, 355,   73.6,  1.2
 M31, 356,   73.2,  1.3
 M31, 357,   73.6,  1.2
 M31, 358,   74.1,  1.2
 M31, 359,   72.9,  1.4
 M31, 360,   73.8,  1.2
 M31, 361,   73.1,  1.3
 M31, 362,   74.4,  1.2
 M31, 363,   72.6,  1.4
 M31, 364,   73.4,  1.3
 M31, 365,   72.8,  1.4
 M31, 366,   73.1,  1.4
 M31, 367,   72.8,  1.4
 M31, 368,   72.5,  1.5
 M31, 369,   72.5,  1.5
 M31, 370,   73.4,  1.3
 M31, 371,   73.2,  1.4
 M31, 372,   72.6,  1.5
 M31, 373,   73.4,  1.4
 M31, 374,   72.9,  1.5
 M31, 375,   71.9,  1.6
 M31, 376,   72.5,  1.6
 M31, 377,   72.2,  1.6
 M31, 378,   72.8,  1.5
 M31, 379,   72.7,  1.4
 M31, 380,   72.5,  1.5
 M31, 381,   73.0,  1.5
 M31, 382,   73.5,  1.4
 M31, 383,   72.5,  1.4
 M31, 384,   72.3,  1.6
 M31, 385,   72.5,  1.5
 M31, 386,   72.2,  1.6
 M31, 387,   73.4,  1.4
 M31, 388,   73.3,  1.4
 M31, 389,   73.0,  1.5
 M31, 390,   73.6,  1.3
 M31, 391,   73.5,  1.3
 M31, 392,   73.7,  1.4
 M31, 393,   73.3,  1.3
 M31, 394,   73.1,  1.3
 M31, 395,   74.1,  1.3
 M31, 396,   72.9,  1.4
 M31, 397,   73.1,  1.3
 M31, 398,   72.5,  1.4
 M31, 399,   72.3,  1.3
 M31, 400,   72.6,  1.3
 M31, 401,   72.3,  1.3
 M31, 402,   71.5,  1.4
 M31, 403,   71.5,  1.3
 M31, 404,   71.1,  1.2
 M31, 405,   71.2,  1.2
 M31, 406,   71.4,  1.2
 M31, 407,   69.3,  1.2
 M31, 408,   70.0,  1.4
 M31, 409,   68.4,  1.2
 M31, 410,   67.4,  1.6
 M31, 411,   65.9,  1.7
 M31, 412,   67.5,  2.7
 M31, 413,   67.0,  2.3
 M31, 414,   68.8,  3.0
 M31, 415,   70.4,  3.1
 M31, 416,   70.3,  2.8
 M31, 417,   73.5,  3.5
 M31, 418,   72.4,  2.7
 M31, 419,   77.5,  4.9
 M31, 420,   74.8,  2.5
 M31, 421,   75.9,  3.2
 M31, 422,   77.3,  3.4
 M31, 423,   77.9,  3.4
 M31, 424,   75.3,  1.7
 M31, 425,   77.3,  2.3
 M31, 426,   78.4,  2.3
 M31, 427,   79.0,  2.2
 M31, 428,   78.9,  1.9
 M31, 429,   79.7,  1.6
 M31, 430,   80.9,  1.8
 M31, 431,   84.7,  3.8
 M31, 432,   82.1,  1.6
 M31, 433,   87.4,  3.8
 M31, 434,   89.5,  4.7
 M31, 435,   88.2,  3.1
 M31, 436,   87.2,  2.5
 M31, 437,   89.6,  3.3
 M31, 438,   87.2,  2.3
 M31, 439,   88.7,  2.9
 M31, 440,   88.8,  2.8
 M31, 441,   89.4,  3.0
 M31, 442,   89.6,  3.4
 M31, 443,   89.9,  3.0
 M31, 444,   89.4,  2.5
 M31, 445,   88.4,  2.4
